state,year,blood_type,donations
Terengganu,2006,a,5177
Terengganu,2006,ab,1465
Terengganu,2006,b,5742
Terengganu,2006,o,7957
Terengganu,2007,a,4740
Terengganu,2007,ab,1309
Terengganu,2007,b,5444
Terengganu,2007,o,7189
Terengganu,2008,a,3494
Terengganu,2008,ab,998
Terengganu,2008,b,3972
Terengganu,2008,o,5310
Terengganu,2009,a,3602
Terengganu,2009,ab,997
Terengganu,2009,b,4164
Terengganu,2009,o,5499
Terengganu,2010,a,3635
Terengganu,2010,ab,1003
Terengganu,2010,b,4239
Terengganu,2010,o,5733
Terengganu,2011,a,3708
Terengganu,2011,ab,990
Terengganu,2011,b,4384
Terengganu,2011,o,5721
Terengganu,2012,a,3573
Terengganu,2012,ab,1062
Terengganu,2012,b,4234
Terengganu,2012,o,5849
Terengganu,2013,a,3527
Terengganu,2013,ab,1064
Terengganu,2013,b,3949
Terengganu,2013,o,5375
Terengganu,2014,a,3548
Terengganu,2014,ab,963
Terengganu,2014,b,4025
Terengganu,2014,o,5394
Terengganu,2015,a,3860
Terengganu,2015,ab,1056
Terengganu,2015,b,4411
Terengganu,2015,o,5956
Terengganu,2016,a,3844
Terengganu,2016,ab,1085
Terengganu,2016,b,4365
Terengganu,2016,o,6014
Terengganu,2017,a,3929
Terengganu,2017,ab,1104
Terengganu,2017,b,4491
Terengganu,2017,o,6160
Terengganu,2018,a,4329
Terengganu,2018,ab,1266
Terengganu,2018,b,5123
Terengganu,2018,o,7154
Terengganu,2019,a,3931
Terengganu,2019,ab,1164
Terengganu,2019,b,4631
Terengganu,2019,o,6578
Terengganu,2020,a,3769
Terengganu,2020,ab,1083
Terengganu,2020,b,4325
Terengganu,2020,o,6184
Terengganu,2021,a,3955
Terengganu,2021,ab,1156
Terengganu,2021,b,4512
Terengganu,2021,o,6557
Terengganu,2022,a,4466
Terengganu,2022,ab,1251
Terengganu,2022,b,5081
Terengganu,2022,o,7428
Terengganu,2023,a,4688
Terengganu,2023,ab,1398
Terengganu,2023,b,5379
Terengganu,2023,o,7892
W.P. Kuala Lumpur,2006,a,33593
W.P. Kuala Lumpur,2006,ab,8776
W.P. Kuala Lumpur,2006,b,36141
W.P. Kuala Lumpur,2006,o,54960
W.P. Kuala Lumpur,2007,a,36422
W.P. Kuala Lumpur,2007,ab,9534
W.P. Kuala Lumpur,2007,b,39715
W.P. Kuala Lumpur,2007,o,59923
W.P. Kuala Lumpur,2008,a,38874
W.P. Kuala Lumpur,2008,ab,10170
W.P. Kuala Lumpur,2008,b,42615
W.P. Kuala Lumpur,2008,o,63742
W.P. Kuala Lumpur,2009,a,40642
W.P. Kuala Lumpur,2009,ab,10840
W.P. Kuala Lumpur,2009,b,44314
W.P. Kuala Lumpur,2009,o,66892
W.P. Kuala Lumpur,2010,a,38070
W.P. Kuala Lumpur,2010,ab,10212
W.P. Kuala Lumpur,2010,b,41505
W.P. Kuala Lumpur,2010,o,63152
W.P. Kuala Lumpur,2011,a,40232
W.P. Kuala Lumpur,2011,ab,10595
W.P. Kuala Lumpur,2011,b,43511
W.P. Kuala Lumpur,2011,o,66206
W.P. Kuala Lumpur,2012,a,40809
W.P. Kuala Lumpur,2012,ab,10650
W.P. Kuala Lumpur,2012,b,43817
W.P. Kuala Lumpur,2012,o,66742
W.P. Kuala Lumpur,2013,a,41879
W.P. Kuala Lumpur,2013,ab,10873
W.P. Kuala Lumpur,2013,b,45314
W.P. Kuala Lumpur,2013,o,68745
W.P. Kuala Lumpur,2014,a,43628
W.P. Kuala Lumpur,2014,ab,11455
W.P. Kuala Lumpur,2014,b,47924
W.P. Kuala Lumpur,2014,o,72244
W.P. Kuala Lumpur,2015,a,46106
W.P. Kuala Lumpur,2015,ab,11726
W.P. Kuala Lumpur,2015,b,50439
W.P. Kuala Lumpur,2015,o,75581
W.P. Kuala Lumpur,2016,a,45038
W.P. Kuala Lumpur,2016,ab,10830
W.P. Kuala Lumpur,2016,b,49127
W.P. Kuala Lumpur,2016,o,75039
W.P. Kuala Lumpur,2017,a,45901
W.P. Kuala Lumpur,2017,ab,10818
W.P. Kuala Lumpur,2017,b,49103
W.P. Kuala Lumpur,2017,o,74772
W.P. Kuala Lumpur,2018,a,49010
W.P. Kuala Lumpur,2018,ab,11660
W.P. Kuala Lumpur,2018,b,52605
W.P. Kuala Lumpur,2018,o,80740
W.P. Kuala Lumpur,2019,a,50198
W.P. Kuala Lumpur,2019,ab,11353
W.P. Kuala Lumpur,2019,b,53934
W.P. Kuala Lumpur,2019,o,83009
W.P. Kuala Lumpur,2020,a,42859
W.P. Kuala Lumpur,2020,ab,9497
W.P. Kuala Lumpur,2020,b,45795
W.P. Kuala Lumpur,2020,o,71779
W.P. Kuala Lumpur,2021,a,43322
W.P. Kuala Lumpur,2021,ab,9262
W.P. Kuala Lumpur,2021,b,47709
W.P. Kuala Lumpur,2021,o,73662
W.P. Kuala Lumpur,2022,a,50271
W.P. Kuala Lumpur,2022,ab,10614
W.P. Kuala Lumpur,2022,b,54975
W.P. Kuala Lumpur,2022,o,86536
